id,name,rank,bayesaverage,usersrated,is_expansion
224517,Brass: Birmingham,1,8.40614,50275,0
161936,Pandemic Legacy: Season 1,2,8.37007,55006,0
342942,Ark Nova,3,8.34251,49870,0
174430,Gloomhaven,4,8.33411,64157,0
233078,Twilight Imperium: Fourth Edition,5,8.23153,25433,0
316554,Dune: Imperium,6,8.22815,50555,0
167791,Terraforming Mars,7,8.20404,104264,0
115746,War of the Ring: Second Edition,8,8.19217,22748,0
187645,Star Wars: Rebellion,9,8.16881,33920,0
162886,Spirit Island,10,8.14389,55700,0
291457,Gloomhaven: Jaws of the Lion,11,8.13819,36841,0
220308,Gaia Project,12,8.10232,28710,0
12333,Twilight Struggle,13,8.05811,49979,0
182028,Through the Ages: A New Story of Civilization,14,8.04044,32839,0
397598,Dune: Imperium – Uprising,15,8.03282,9773,0
84876,The Castles of Burgundy,16,8.01967,64760,0
193738,Great Western Trail,17,8.00706,42005,0
169786,Scythe,18,7.97431,87192,0
246900,Eclipse: Second Dawn for the Galaxy,19,7.97234,14989,0
173346,7 Wonders Duel,20,7.96535,100014,0
28720,Brass: Lancashire,21,7.96153,25773,0
167355,Nemesis,22,7.95302,33029,0
266507,Clank! Legacy: Acquisitions Incorporated,23,7.94594,10095,0
177736,A Feast for Odin,24,7.94216,30243,0
124361,Concordia,25,7.93529,42114,0
295770,Frosthaven,26,7.92928,8073,0
341169,Great Western Trail: Second Edition,27,7.90619,14637,0
205637,Arkham Horror: The Card Game,28,7.8986,44912,0
312484,Lost Ruins of Arnak,29,7.89549,48482,0
237182,Root,30,7.88554,55882,0
120677,Terra Mystica,31,7.8799,49117,0
266192,Wingspan,32,7.87753,100503,0
192135,Too Many Bones,33,7.8737,14773,0
164928,Orléans,34,7.86587,32933,0
96848,Mage Knight Board Game,35,7.84873,33968,0
251247,Barrage,36,7.84483,19145,0
324856,The Crew: Mission Deep Sea,37,7.83498,20461,0
199792,Everdell,38,7.83291,59783,0
183394,Viticulture Essential Edition,39,7.82778,51102,0
373106,Sky Team,40,7.81772,16802,0
366013,Heat: Pedal to the Metal,41,7.79892,29736,0
285774,Marvel Champions: The Card Game,42,7.79377,25171,0
175914,Food Chain Magnate,43,7.78908,21266,0
256960,Pax Pamir: Second Edition,44,7.78324,15394,0
521,Crokinole,45,7.78069,19138,0
247763,Underwater Cities,46,7.77896,20826,0
284378,Kanban EV,47,7.77508,8524,0
3076,Puerto Rico,48,7.76674,72216,0
295947,Cascadia,49,7.75797,45001,0
102794,Caverna: The Cave Farmers,50,7.75017,35701,0
314040,Pandemic Legacy: Season 0,51,7.74973,8373,0
321608,Hegemony: Lead Your Class to Victory,52,7.74872,8572,0
185343,Anachrony,53,7.74756,19726,0
184267,On Mars,54,7.7447,13489,0
170216,Blood Rage,55,7.74311,48882,0
253344,Cthulhu: Death May Die,56,7.74173,14212,0
31260,Agricola,57,7.73969,74179,0
251661,Oathsworn: Into the Deepwood,58,7.72891,5619,0
255984,Sleeping Gods,59,7.72357,13554,0
161533,Lisboa,60,7.7148,11720,0
221107,Pandemic Legacy: Season 2,61,7.71227,17427,0
231733,Obsession,62,7.71007,14552,0
205059,Mansions of Madness: Second Edition,63,7.69942,37871,0
182874,Grand Austria Hotel,64,7.69916,22296,0
126163,Tzolk'in: The Mayan Calendar,65,7.69251,40478,0
2651,Power Grid,66,7.69149,66921,0
421006,The Lord of the Rings: Duel for Middle-earth,67,7.69125,7395,0
383179,Age of Innovation,68,7.68093,5785,0
244521,The Quacks of Quedlinburg,69,7.67506,53593,0
216132,Clans of Caledonia,70,7.67485,21119,0
276025,Maracaibo,71,7.67466,17296,0
35677,Le Havre,72,7.67209,32468,0
266810,Paladins of the West Kingdom,73,7.66913,18812,0
125153,The Gallerist,74,7.66764,15283,0
164153,Star Wars: Imperial Assault,75,7.6633,25117,0
124742,Android: Netrunner,76,7.65853,30570,0
209010,Mechs vs. Minions,77,7.64838,17799,0
284083,The Crew: The Quest for Planet Nine,78,7.64326,44311,0
200680,Agricola (Revised Edition),79,7.64072,19081,0
55690,Kingdom Death: Monster,80,7.63802,9920,0
365717,Clank!: Catacombs,81,7.63453,8406,0
28143,Race for the Galaxy,82,7.62646,56760,0
230802,Azul,83,7.62602,96923,0
338960,Slay the Spire: The Board Game,84,7.62002,5141,0
157354,Five Tribes: The Djinns of Naqala,85,7.61746,42844,0
201808,Clank!: A Deck-Building Adventure,86,7.61038,44182,0
72125,Eclipse: New Dawn for the Galaxy,87,7.60609,28640,0
159675,Fields of Arle,88,7.5995,11519,0
191189,Aeon's End,89,7.59897,21943,0
110327,Lords of Waterdeep,90,7.58863,56987,0
229853,Teotihuacan: City of Gods,91,7.58519,20735,0
93,El Grande,92,7.58458,30493,0
332772,Revive,93,7.58244,9332,0
317985,Beyond the Sun,94,7.57977,15816,0
322289,Darwin's Journey,95,7.579,8844,0
25613,Through the Ages: A Story of Civilization,96,7.57578,19605,0
62219,Dominant Species,97,7.56851,21688,0
291453,SCOUT,98,7.56796,20236,0
366161,Wingspan Asia,99,7.56615,7486,0
371942,The White Castle,100,7.56573,13041,0
256916,Concordia Venus,101,7.56563,6538,0
68448,7 Wonders,102,7.56321,107731,0
121921,Robinson Crusoe: Adventures on the Cursed Island,103,7.5627,44829,0
279537,The Search for Planet X,104,7.56085,13660,0
171623,The Voyages of Marco Polo,105,7.55989,25463,0
414317,Harmonies,106,7.54941,12204,0
390092,Ticket to Ride Legacy: Legends of the West,107,7.54901,4175,0
225694,Decrypto,108,7.54418,24373,0
155821,Inis,109,7.53609,21292,0
277659,Final Girl,110,7.53582,7983,0
37111,Battlestar Galactica: The Board Game,111,7.53406,36954,0
380607,Great Western Trail: New Zealand,112,7.53399,4579,0
163068,Trickerion: Legends of Illusion,113,7.53389,11521,0
364073,Splendor Duel,114,7.53226,14121,0
264220,Tainted Grail: The Fall of Avalon,115,7.5296,13098,0
236457,Architects of the West Kingdom,116,7.52809,30476,0
310873,Carnegie,117,7.52762,10242,0
240980,Blood on the Clocktower,118,7.52456,7180,0
122515,Keyflower,119,7.51487,23643,0
170042,Raiders of the North Sea,120,7.51345,25080,0
271055,Dwellings of Eldervale,121,7.51311,8115,0
217372,The Quest for El Dorado,122,7.51275,28201,0
42,Tigris & Euphrates,123,7.51257,29141,0
40834,Dominion: Intrigue,124,7.51148,34083,0
18602,Caylus,125,7.50859,29456,0
73439,Troyes,126,7.50399,24080,0
146021,Eldritch Horror,127,7.50321,37475,0
203993,Lorenzo il Magnifico,128,7.50317,14354,0
337627,Voidfall,129,7.49777,4778,0
172386,Mombasa,130,7.4974,13506,0
12,Ra,131,7.49529,27949,0
269385,The Lord of the Rings: Journeys in Middle-Earth,132,7.49484,17173,0
310100,Nemesis: Lockdown,133,7.48469,6653,0
12493,Twilight Imperium: Third Edition,134,7.48338,19386,0
163412,Patchwork,135,7.48267,69079,0
359871,Arcs,136,7.48094,8049,0
102680,Trajan,137,7.47927,18157,0
36218,Dominion,138,7.47852,93100,0
144733,Russian Railroads,139,7.47732,18347,0
4098,Age of Steam,140,7.47652,11752,0
180263,The 7th Continent,141,7.47171,22688,0
218417,Aeon's End: War Eternal,142,7.46817,6078,0
205896,Rising Sun,143,7.46519,22044,0
43015,Hansa Teutonica,144,7.46488,16221,0
175640,Vinhos: Deluxe Edition,145,7.46108,7280,0
227935,Wonderland's War,146,7.45984,8320,0
233371,Clank! In! Space!: A Deck-Building Adventure,147,7.4475,15089,0
198928,Iberia,148,7.44697,11203,0
196340,Yokohama,149,7.44686,12459,0
175155,Forbidden Stars,150,7.44381,9528,0
178900,Codenames,151,7.44054,96381,0
254640,Just One,152,7.43727,30425,0
410201,Wyrmspan,153,7.43472,9025,0
172287,Champions of Midgard,154,7.43385,18006,0
266524,PARKS,155,7.4257,27694,0
132531,Roll for the Galaxy,156,7.42524,32493,0
30549,Pandemic,157,7.42152,129161,0
220877,Rajas of the Ganges,158,7.4211,14893,0
118048,Targi,159,7.41673,24761,0
304783,Hadrian's Wall,160,7.41507,9008,0
263918,Cartographers,161,7.41255,32119,0
281259,The Isle of Cats,162,7.41119,23050,0
262712,Res Arcana,163,7.41051,23467,0
147020,Star Realms,164,7.40921,46015,0
189932,Tyrants of the Underdark,165,7.40806,9752,0
463,Magic: The Gathering,166,7.40721,40990,0
274364,Watergate,167,7.40624,12762,0
325494,ISS Vanguard,168,7.40515,5282,0
161970,Alchemists,169,7.40428,23455,0
271324,It's a Wonderful World,170,7.40336,20631,0
14996,Ticket to Ride: Europe,171,7.40184,79704,0
268864,Undaunted: Normandy,172,7.39966,12746,0
396790,Nucleum,173,7.39711,5955,0
235802,Too Many Bones: Undertow,174,7.39703,3583,0
77423,The Lord of the Rings: The Card Game,175,7.39421,24537,0
34635,Stone Age,176,7.39307,53925,0
308765,Praga Caput Regni,177,7.39083,9406,0
127023,Kemet,178,7.38995,19577,0
2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,179,7.38767,21925,0
209418,Dominion (Second Edition),180,7.3844,11113,0
233398,Endeavor: Age of Sail,181,7.38407,9742,0
328871,Terraforming Mars: Ares Expedition,182,7.3833,18784,0
148949,Istanbul,183,7.38272,32225,0
249259,War Chest,184,7.38231,10971,0
296151,Viscounts of the West Kingdom,185,7.38122,10383,0
146652,Legendary Encounters: An Alien Deck Building Game,186,7.38072,13376,0
103885,Star Wars: X-Wing Miniatures Game,187,7.37861,25217,0
265188,Glen More II: Chronicles,188,7.3784,8708,0
294484,Unmatched: Cobble & Fog,189,7.378,8371,0
283948,Marco Polo II: In the Service of the Khan,190,7.37656,7712,0
244522,That's Pretty Clever!,191,7.37388,25724,0
329082,Radlands,192,7.37336,11912,0
258779,Planet Unknown,193,7.3731,10517,0
54043,Jaipur,194,7.3692,54002,0
82222,Xia: Legends of a Drift System,195,7.36779,10328,0
233867,Welcome To...,196,7.36673,32364,0
350184,Earth,197,7.35575,16946,0
283355,Dune,198,7.35304,9511,0
43111,Chaos in the Old World,199,7.35142,15843,0
9609,War of the Ring,200,7.35099,10809,0
339789,Welcome to the Moon,201,7.35092,7499,0
271896,Star Wars: Outer Rim,202,7.34942,13497,0
188920,This War of Mine: The Board Game,203,7.34798,13708,0
418059,SETI: Search for Extraterrestrial Intelligence,204,7.33859,4229,0
10630,Memoir '44,205,7.33765,30797,0
104162,Descent: Journeys in the Dark (Second Edition),206,7.33532,25619,0
227224,The Red Cathedral,207,7.33485,13536,0
314491,Meadow,208,7.33395,11842,0
364011,Great Western Trail: Argentina,209,7.33312,4381,0
39463,Cosmic Encounter,210,7.33064,33723,0
359609,Arkham Horror: The Card Game (Revised Edition),211,7.33032,3581,0
25021,Sekigahara: The Unification of Japan,212,7.33005,6222,0
199561,Sagrada,213,7.32971,43660,0
155426,Castles of Mad King Ludwig,214,7.32704,26454,0
282524,Horrified,215,7.32192,17922,0
242302,Space Base,216,7.31949,20742,0
128882,The Resistance: Avalon,217,7.31903,34687,0
118,Modern Art,218,7.31836,23487,0
17133,Railways of the World,219,7.31749,12374,0
316377,7 Wonders (Second Edition),220,7.31717,9305,0
287954,Azul: Summer Pavilion,221,7.31538,17363,0
300531,Paleo,222,7.31453,13787,0
31627,Ticket to Ride: Nordic Countries,223,7.31405,14509,0
103343,A Game of Thrones: The Board Game (Second Edition),224,7.31238,35490,0
70149,Ora et Labora,225,7.31025,11205,0
188,Go,226,7.30923,17668,0
374173,Star Wars: The Deckbuilding Game,227,7.30226,8267,0
14105,Commands & Colors: Ancients,228,7.29848,8936,0
171131,Captain Sonar,229,7.29847,22254,0
391163,Forest Shuffle,230,7.29724,11540,0
123260,Suburbia,231,7.29689,25710,0
822,Carcassonne,232,7.2966,131654,0
104006,Village,233,7.29423,23749,0
148228,Splendor,234,7.29387,83909,0
150376,Dead of Winter: A Crossroads Game,235,7.29185,47366,0
299659,Clash of Cultures: Monumental Edition,236,7.28899,4309,0
285967,Ankh: Gods of Egypt,237,7.28826,10205,0
256680,Return to Dark Tower,238,7.28775,4944,0
215,Tichu,239,7.28655,16041,0
241451,Aeon's End: Legacy,240,7.28467,5433,0
293014,Nidavellir,241,7.28113,14613,0
182631,Star Realms: Colony Wars,242,7.27662,8432,0
269207,The Taverns of Tiefenthal,243,7.27591,15405,0
7854,YINSH,244,7.27145,9315,0
306735,Under Falling Skies,245,7.27035,12360,0
9209,Ticket to Ride,246,7.2703,93079,0
332686,John Company: Second Edition,247,7.26977,4195,0
91,Paths of Glory,248,7.26973,5366,0
245638,Coimbra,249,7.26904,12322,0
126042,Nations,250,7.26599,12419,0
195421,Near and Far,251,7.265,10734,0
283155,Calico,252,7.26264,20678,0
295486,My City,253,7.2623,11880,0
54998,Cyclades,254,7.26228,22043,0
165722,KLASK,255,7.2618,11071,0
188834,Secret Hitler,256,7.26044,31007,0
21050,Combat Commander: Europe,257,7.26032,5994,0
221194,Dinosaur Island,258,7.25579,16504,0
146886,La Granja,259,7.24965,11430,0
260605,Camel Up (Second Edition),260,7.24888,14699,0
224037,Codenames: Duet,261,7.2477,24426,0
223040,Fantasy Realms,262,7.24587,16397,0
129437,Legendary: A Marvel Deck Building Game,263,7.2439,22871,0
232832,Century: Golem Edition,264,7.24,13011,0
158600,Hanamikoji,265,7.23856,19566,0
274637,"Unmatched: Battle of Legends, Volume One",266,7.23505,9783,0
